ZoneName,LengthM,SiteCode,DateStart,DateFinish,ZoneDescription,Comments,Comments2,RoadType,RCACScore,RoadWidthM,LRoadWidth,RRoadWidth,WidthVarie,RCACWidth,RCACTreesW,RCACTreesS,RCACGround,RCACGrassl,RCACLeafLi,RCACLogs,RCACRocksC,RCACWetlan,RCACMaxFau,RCACRegene,RCACWildli,RCACWeedCo,RCACSiteDi,RCACRareSp,HollowTree,LargeOldTree,Trees,LogsWoodyD,GroundFlor,Mistletoe,Shrubs,BioticSoil,LeafMulchL,Rocks,CracksCrev,Wetland,Disturbanc,Regenerati,Weeds,Powerline,BiomassRed,AdjoiningL,AdjoiningV,PowerlineD,CanopyCont,OverallFue,GroundFuel,ElevatedFu,BarkHazard,Majorweeds,Locality,LandFormLS,LandForm00,SoilType,EVCCode,EVCNotes,EVCSource,Origin,Recommenda
bellclover court,3,g252,17/09/2014,17/09/2014,"semi-urban, few remnants",,,,2,3.0,0-5,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,28,0,0,0,0,0,0,0,1,1,1,0,298,,e,,none,,,,,,,,,,47,47,survey,,
bellclover court,3,g252,17/09/2014,17/09/2014,"semi-urban, few remnants",,"roadside only scores hcv due to listed species presence, otherwise lcv",,17,3.0,,0-5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0,28,0,0,0,0,0,0,0,1,1,1,1,298,,e,,none,,,,,,,,,,47,47,survey,,
westgate road,9,g086,17/09/2014,17/09/2014,"semi-urban, few remnants",,,,3,4.0,0-5,,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,28,0,16,0,0,0,0,0,1,1,1,1,298,,ei,,none,,,,,,,,,,47,47,survey,,
westgate road,9,g086,17/09/2014,17/09/2014,"semi-urban, few remnants",,,,6,4.0,,0-5,0,1,3,1,1,0,0,0,0,0,5,0,0,0,0,0,3,0,0.0,0,28,0,16,0,0,0,0,0,1,1,1,0,298,,ei,,none,,,,,,,,,,47,47,survey,,
haddon common road,9,g083b,17/09/2014,17/09/2014,forest,,,,15,4.0,0-5,,0,1,0,2,2,0,2,2,0,0,5,1,2,2,4,0,0,0,20.0,2,48,0,24,2,2,0,0,0,3,2,3,1,289,,i+e,,continuous,,,,,,,,,,20,20,survey,,
haddon common road,9,g083b,17/09/2014,17/09/2014,forest,,,,16,4.0,,0-5,0,1,0,2,2,0,2,2,0,0,5,1,2,3,4,0,0,0,,2,48,0,24,2,2,0,0,0,3,2,4,0,289,,i+e,,continuous,,,,,,,,,,20,20,survey,,
wongerer lane,8,g083d,17/09/2014,17/09/2014,forest,,,,16,4.0,0-5,,0,1,0,2,2,0,2,2,0,0,5,1,2,3,4,0,0,1,20.0,2,48,0,24,2,2,0,0,0,3,2,3,0,300,,i+e,,continuous,,,,,,,,,,20,20,survey,,
wongerer lane,1,g083d,17/09/2014,17/09/2014,cleared under powerlines,,,,8,4.0,0-5,,0,1,0,1,1,0,0,0,0,1,3,1,0,1,2,0,0,0,0.0,0,28,0,16,0,0,0,0,1,2,2,2,1,289,,i+e,,none,,,,,,,,,,47,47,survey,,
wongerer lane,9,g083d,17/09/2014,17/09/2014,forest,,,,15,4.0,,0-5,0,0,1,0,2,0,2,1,0,0,5,1,2,2,4,0,0,1,18.0,1,32,0,23,2,2,0,0,0,3,2,3,0,289,,i+e,,patchy,,,,,,,,,,286,[47]>20/22,survey,,
bothe place,2,g255,17/09/2014,17/09/2014,cleared under powerlines,,,,3,3.0,0-5,,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,29,0,0,0,0,0,0,0,1,1,1,1,298,,ei,,none,,,,,,,,,,286,20/22,survey,,
bothe place,3,g255,17/09/2014,17/09/2014,cleared with occasional trees and/or shrubs,,,,6,4.0,,0-5,1,1,1,1,2,0,0,0,0,0,4,1,0,0,0,0,0,1,16.0,0,29,0,0,0,0,0,0,0,1,2,1,0,289,,i+e,,sparse,,,,,,,,,,286,20/22,survey,,
taemore close,1,g310,17/09/2014,17/09/2014,cleared with occasional trees and/or shrubs,,,,4,4.0,0-5,,1,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0.0,0,29,0,0,0,0,0,0,0,1,2,1,0,298,,e,,none,,,,,,,,,,47,47,survey,,
taemore close,1,g310,17/09/2014,17/09/2014,cleared under powerlines,,,,4,4.0,,0-5,1,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0.0,0,29,0,0,0,0,0,0,0,1,2,1,1,298,,e,,none,,,,,,,,,,47,47,survey,,
station street,4,g305,17/09/2014,17/09/2014,cleared with occasional trees and/or shrubs,,"roadside only scores hcv due to listed species presence, otherwise mcv",,25,4.0,0-5,,1,1,1,2,2,0,0,0,0,0,5,1,0,1,2,1,0,1,16.0,0,29,0,23,0,0,0,0,0,2,2,2,1,289,,e,,sparse,,,,,,,,,,286,20/22,survey,,
station street,3,g305,17/09/2014,17/09/2014,cleared with occasional trees and/or shrubs,,,,10,4.0,,0-5,1,1,1,2,2,0,0,0,0,0,5,1,0,1,2,0,0,1,16.0,0,29,0,23,0,0,0,0,0,2,2,2,1,289,,e,,sparse,,,,,,,,,,286,20/22,survey,,
taylors road (haddon),1,g112,17/09/2014,17/09/2014,pasture grasses and weeds,,,,2,4.0,0-5,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,28,0,0,0,0,0,0,0,1,1,1,0,298,,e,,none,,,,,,,,,,47,47,survey,,
taylors road (haddon),1,g112,17/09/2014,17/09/2014,pasture grasses and weeds,,,,2,4.0,,0-5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,28,0,0,0,0,0,0,0,1,1,1,0,298,,e,,none,,,,,,,,,,47,47,survey,,
nintingbool road,3,g094,17/09/2014,17/09/2014,woodland with weedy grassy understorey,,"roadside only scores hcv due to listed species presence, otherwise mcv",,25,4.0,,,1,0,0,2,2,0,1,0,0,0,5,1,1,1,2,1,0,0,18.0,0,29,0,23,1,1,0,0,0,2,2,2,0,289,,i+e,,patchy,,,,,,,,,,47,47,survey,,
nintingbool road,1,g094,17/09/2014,17/09/2014,woodland with patchy native grass understorey,,hcv roadside converted to very high status due to listed species presence,,31,20.0,20+,,0,3,1,2,2,0,2,1,0,0,5,1,2,1,4,1,0,1,18.0,1,29,0,23,2,2,0,0,0,3,2,2,0,300,,i+e,,patchy,,,,,,,,,,47,47,survey,,
nintingbool road,5,g094,17/09/2014,17/09/2014,woodland with patchy native grass understorey,,"roadside only scores hcv due to listed species presence, otherwise mcv",,28,20.0,,20+,0,3,1,2,2,0,1,1,0,0,5,1,2,0,2,1,0,1,,1,29,0,23,1,1,0,0,0,2,2,1,0,300,,i+e,,patchy,,,,,,,,,,47,47,survey,,
nintingbool road,8,g094,17/09/2014,17/09/2014,cleared under powerlines,,,,15,20.0,,20+,0,3,0,2,2,0,1,0,0,0,5,1,2,2,2,0,0,0,18.0,0,29,0,23,1,1,0,0,0,2,2,3,1,298,,i+e,,patchy,,,,,,,,,,47,47,survey,,
nintingbool road,2,g094,17/09/2014,17/09/2014,cleared under powerlines,,,,11,20.0,,20+,0,3,0,2,2,0,0,0,0,0,4,0,1,1,2,0,0,0,16.0,0,29,0,16,1,0,0,0,0,2,1,2,1,298,,i+e,,none,,,,,,,,,,47,47,survey,,
nintingbool road,1,g094,17/09/2014,17/09/2014,cleared under powerlines,,,,2,4.0,,0-5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,28,0,0,0,0,0,0,0,1,1,1,1,298,,en,,none,,,,,,,,,,47,47,survey,,
