id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
421168940,212546 (2006 SV19),0.7844314124,1.7540419619,40205.5448268341,22763475.440552384,Earth,False,17.65,True
449714219,(2012 EL8),0.0058150704,0.0130028927,18417.6913746147,44119077.41280745,Earth,False,28.3,False
273468283,(2017 EH1),0.0584191154,0.1306291133,52651.3410400158,14457467.57130974,Earth,False,23.29,False
264178644,(2020 BK),0.0121494041,0.0271668934,65745.2191682063,73180386.0527761,Earth,False,26.7,False
189137657,(2022 BU2),0.2251930467,0.5035469604,80993.9300624993,51025124.13485579,Earth,False,20.36,False
277899818,(2011 EK47),0.0366906138,0.0820427065,29190.5073975984,10507243.826229475,Earth,False,24.3,False
295285932,(2021 RE10),0.0417402433,0.0933340215,71402.961500622,74271175.27169305,Earth,False,24.02,False
260839709,(2011 FT53),0.0231502122,0.0517654482,59953.9829934719,36127615.341488056,Earth,False,25.3,False
212541039,(2014 BP43),0.0133215567,0.0297879063,30438.7126247619,6493087.965345588,Earth,False,26.5,False
439760402,(2014 WQ202),0.046190746,0.1032856481,57875.2145670701,13404380.635901222,Earth,False,23.8,False
290706752,(2011 HJ7),0.096506147,0.2157943048,41874.2178046312,23339075.56537959,Earth,False,22.2,False
104703070,(2009 TQ8),0.0366906138,0.0820427065,45844.740413294,9010595.077369748,Earth,False,24.3,False
260455371,(2020 NJ1),0.0766575574,0.1714115092,35166.1783630473,40835017.9195669,Earth,False,22.7,False
422874760,(2021 CH1),0.0319561887,0.0714562102,59608.2704239037,36022432.286222346,Earth,False,24.6,False
411755970,(2020 ML2),0.0069912523,0.0156329154,70116.6319035559,72934158.23612976,Earth,False,27.9,False
197885643,(2018 TG2),0.0035039264,0.0078350176,23429.7038060397,69008867.1602139,Earth,False,29.4,False
439960179,(2015 VD1),0.0253837029,0.0567596853,37901.6397559267,6981977.125578302,Earth,False,25.1,False
53281362,(2008 WS62),0.0253837029,0.0567596853,36290.8063129558,6771881.48799584,Earth,False,25.1,False
125521241,(2005 WM3),0.0076657557,0.0171411509,28792.3196103261,1477692.60436055,Earth,False,27.7,False
156171384,(2010 KC),0.0389542616,0.087104377,100737.9611839674,51988892.58487615,Earth,False,24.17,False
242514568,(2018 JY1),0.0530340723,0.1185877909,42257.3283576302,28159351.187472764,Earth,False,23.5,False
384093694,(2021 WB4),0.0485909037,0.1086525639,53344.5811808713,14180048.075175865,Earth,False,23.69,False
333254541,(2020 CP1),0.1010543415,0.2259643771,56301.1712856198,37329341.389107525,Earth,False,22.1,False
344411982,(2019 MS3),0.2315021222,0.5176544822,54704.3104698959,39847550.71353347,Earth,False,20.3,True
