building_id,geo_level_1_id,geo_level_2_id,geo_level_3_id,count_floors_pre_eq,age,area_percentage,height_percentage,land_surface_condition,foundation_type,roof_type,ground_floor_type,other_floor_type,position,plan_configuration,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,has_superstructure_other,legal_ownership_status,count_families,has_secondary_use,has_secondary_use_agriculture,has_secondary_use_hotel,has_secondary_use_rental,has_secondary_use_institution,has_secondary_use_school,has_secondary_use_industry,has_secondary_use_health_post,has_secondary_use_gov_office,has_secondary_use_use_police,has_secondary_use_other,damage_grade
379588,6,855,11446,2,20,17,9,t,r,q,f,s,s,d,0,1,0,0,0,0,0,0,0,0,0,v,0,1,1,0,0,0,0,0,0,0,0,0,2
658884,17,1275,7157,1,20,8,3,t,r,n,f,j,s,d,0,1,1,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
651960,27,269,9259,2,15,9,7,o,r,n,f,q,s,d,0,1,1,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
208344,21,935,10451,2,30,5,4,t,r,q,f,x,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
680369,6,673,5261,3,200,4,6,t,r,n,f,q,j,d,0,0,0,0,1,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
604176,17,566,8505,1,35,20,3,t,r,n,f,j,s,d,0,1,0,0,0,0,0,0,0,0,0,v,2,0,0,0,0,0,0,0,0,0,0,0,3
570906,26,1401,11213,1,0,3,3,n,r,n,v,j,s,d,0,0,0,0,0,1,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
1048235,7,473,12097,2,20,9,5,t,r,q,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
406617,4,588,6687,2,10,6,5,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
116868,27,269,5106,2,20,14,5,t,r,n,f,q,s,d,0,1,1,1,0,0,1,1,0,0,1,v,1,0,0,0,0,0,0,0,0,0,0,0,2
410257,21,1219,7616,2,5,5,5,t,r,q,f,q,t,d,0,1,0,0,0,0,0,0,0,0,0,w,1,0,0,0,0,0,0,0,0,0,0,0,3
970191,7,904,1886,2,20,2,5,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,1,1,0,0,0,0,0,0,0,0,0,2
84257,21,935,9481,3,15,7,6,t,r,n,x,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
886696,27,422,11125,2,15,6,7,t,r,n,f,q,s,d,1,0,1,0,0,0,0,0,0,0,0,r,1,0,0,0,0,0,0,0,0,0,0,0,2
39490,17,51,6788,3,50,4,7,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
533216,30,73,7580,2,25,12,7,t,r,n,v,x,s,d,0,1,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
1026570,7,790,2335,2,15,5,4,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,2,0,0,0,0,0,0,0,0,0,0,0,3
908856,30,73,12532,2,15,8,5,n,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,1,1,0,0,0,0,0,0,0,0,0,2
826685,17,1149,4221,3,15,5,7,t,r,n,f,x,t,d,0,1,0,0,0,0,1,1,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
873936,20,261,6264,2,5,8,5,t,w,q,f,q,s,d,0,0,0,0,0,0,1,1,0,0,0,a,0,0,0,0,0,0,0,0,0,0,0,0,2
369218,4,208,8354,2,25,14,7,t,r,n,f,x,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
919151,27,533,6399,2,30,7,6,t,r,n,f,q,t,d,1,1,0,0,1,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
406256,11,765,12112,3,40,12,7,t,r,q,x,q,j,d,0,0,0,0,1,1,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
147028,21,336,8950,2,0,5,4,t,r,n,f,x,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
209929,17,834,9487,2,10,6,4,t,r,q,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
379757,26,1001,12258,1,10,10,3,t,r,n,v,j,s,d,0,0,0,0,1,0,0,0,0,0,0,a,1,0,0,0,0,0,0,0,0,0,0,0,1
45527,21,313,7213,2,0,12,8,t,i,n,v,s,s,d,0,0,0,0,0,0,0,0,1,0,0,v,0,0,0,0,0,0,0,0,0,0,0,0,2
729275,0,946,208,2,25,5,5,n,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
789701,6,673,6047,2,20,7,6,t,r,n,f,q,s,d,1,0,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
63770,4,40,3858,2,50,6,5,t,r,q,f,q,s,u,0,1,0,0,0,0,1,1,0,0,0,v,1,1,1,0,0,0,0,0,0,0,0,0,2
725999,26,886,3818,2,30,6,4,t,r,q,f,q,t,d,0,1,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
1018876,3,1387,11973,4,25,5,8,t,r,n,f,q,j,d,1,0,0,0,1,0,1,1,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
1003577,8,1225,6276,3,10,8,8,t,i,x,v,s,s,d,0,0,0,0,0,1,0,0,1,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
1016025,25,496,8351,2,25,8,4,t,r,n,f,q,s,d,0,1,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
863801,26,1377,2633,1,10,4,4,t,w,q,f,j,t,d,0,0,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
943326,17,715,11579,2,0,7,4,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
443818,8,268,4682,3,35,11,7,t,r,q,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,1,0,1,0,0,0,0,0,0,0,0,2
156327,10,1397,3786,2,10,5,4,t,r,q,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
645957,23,848,10817,3,30,9,6,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
233534,4,891,11782,2,30,6,5,t,r,q,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,0,1,0,0,1,0,0,0,0,0,0,0,2
502747,17,811,11295,2,10,6,4,n,r,q,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
1000742,25,211,3910,2,40,8,5,t,u,n,x,x,j,d,0,0,0,1,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
995537,4,55,11218,1,0,5,2,t,w,n,f,j,s,d,0,0,0,0,0,0,0,1,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
609864,6,1147,7393,2,20,6,5,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
14386,11,945,6454,1,20,5,3,n,r,n,f,x,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
1005423,8,178,10645,2,30,6,5,t,r,n,f,q,t,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
929334,17,566,8505,2,30,20,5,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
131427,13,480,4433,2,25,19,5,t,r,n,f,q,s,q,1,0,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,1
435472,7,749,1460,2,10,10,6,t,r,q,f,q,s,d,0,1,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
61180,6,37,8742,1,15,4,3,t,r,n,f,j,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
54538,8,1,9261,2,35,3,5,t,r,q,x,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
613550,6,852,10178,2,40,10,7,o,r,n,f,x,t,d,1,1,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
694672,3,1006,6577,3,20,7,8,t,r,n,f,q,s,d,1,0,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
69477,21,363,9414,3,20,9,6,t,r,n,f,q,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
568098,25,1044,9771,2,15,5,5,t,r,n,f,x,s,d,0,1,0,0,0,0,0,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,2
962658,17,663,7897,2,25,10,5,t,r,n,f,q,s,d,0,1,0,0,0,0,1,0,0,0,0,v,1,0,0,0,0,0,0,0,0,0,0,0,3
